variant,n_co2,k,E_full,E_LJ,is_clash,alpha_Al,alpha_other
Al×0.00 other×0.30,1,1,-16.548722894874633,-16.507758301561918,False,0.0,0.3
Al×0.00 other×0.30,2,1,-32.84050349208778,7.157938508183733,False,0.0,0.3
Al×0.00 other×0.30,2,2,12.436972849166525,-9.976860230247969,False,0.0,0.3
Al×0.00 other×0.30,3,1,-107.31706652444812,-2.793142807599979,False,0.0,0.3
Al×0.00 other×0.30,3,2,24.74804310039798,-6.474132340115203,False,0.0,0.3
Al×0.00 other×0.30,3,3,-75.98745245538369,-12.251264880555437,False,0.0,0.3
Al×0.00 other×0.30,4,1,-7.337372495305439,7.636988076987583,False,0.0,0.3
Al×0.00 other×0.30,4,2,164.63254484286466,-9.629458516991045,False,0.0,0.3
Al×0.00 other×0.30,4,3,56.9062242992648,16.155485400053017,False,0.0,0.3
Al×0.00 other×0.30,4,4,-150.71121832944888,12.297586384584221,False,0.0,0.3
Al×0.00 other×0.50,1,1,-21.35238892170159,-21.311424328388878,False,0.0,0.5
Al×0.00 other×0.50,2,1,-29.153226250082113,9.240858878457438,False,0.0,0.5
Al×0.00 other×0.50,2,2,23.33359299263926,-12.880071173063163,False,0.0,0.5
Al×0.00 other×0.50,3,1,-91.96404348505752,-3.6059318591378995,False,0.0,0.5
Al×0.00 other×0.50,3,2,31.732429098158796,-8.358068911469678,False,0.0,0.5
Al×0.00 other×0.50,3,3,-75.65051596531721,-15.816314950789009,False,0.0,0.5
Al×0.00 other×0.50,4,1,-3.417983580504676,9.859309212452526,False,0.0,0.5
Al×0.00 other×0.50,4,2,162.53934668011996,-12.431577489767125,False,0.0,0.5
Al×0.00 other×0.50,4,3,61.60738086731255,20.856641968100778,False,0.0,0.5
Al×0.00 other×0.50,4,4,-145.93683269553412,15.876115755347248,False,0.0,0.5
Al×0.00 other×0.70,1,1,-25.256981916960445,-25.21601732364773,False,0.0,0.7
Al×0.00 other×0.70,2,1,-26.156074322719228,10.933931677863713,False,0.0,0.7
Al×0.00 other×0.70,2,2,32.19075884192843,-15.239905734368616,False,0.0,0.7
Al×0.00 other×0.70,3,1,-86.86847106131658,-4.26659611421612,False,0.0,0.7
Al×0.00 other×0.70,3,2,37.409589935473534,-9.889400502579825,False,0.0,0.7
Al×0.00 other×0.70,3,3,-75.37664183426533,-18.714116224699794,False,0.0,0.7
Al×0.00 other×0.70,4,1,-0.2321629141718607,11.665691981423608,False,0.0,0.7
Al×0.00 other×0.70,4,2,160.8379197203152,-14.709240851849549,False,0.0,0.7
Al×0.00 other×0.70,4,3,65.42865047737739,24.677911578165617,False,0.0,0.7
Al×0.00 other×0.70,4,4,-142.05603985965863,18.784873490871806,False,0.0,0.7
Al×0.00 other×1.00,1,1,-30.179869912008108,-30.138905318695393,False,0.0,1.0
Al×0.00 other×1.00,2,1,-22.377282714870447,13.068547953890322,False,0.0,1.0
Al×0.00 other×1.00,2,2,36.89129978393337,-18.215171337276658,False,0.0,1.0
Al×0.00 other×1.00,3,1,-87.7014326872865,-5.099557740186022,False,0.0,1.0
Al×0.00 other×1.00,3,2,44.5673210910402,-11.820094409849368,False,0.0,1.0
Al×0.00 other×1.00,3,3,-75.03134293280581,-22.367647110170154,False,0.0,1.0
Al×0.00 other×1.00,4,1,3.784501135502066,13.943168803880303,False,0.0,1.0
Al×0.00 other×1.00,4,2,158.6927705677546,-17.58090548772077,False,0.0,1.0
Al×0.00 other×1.00,4,3,70.24648483605984,29.495745936848056,False,0.0,1.0
Al×0.00 other×1.00,4,4,-137.16315896626034,22.452218219017254,False,0.0,1.0
Al×0.25 other×0.30,1,1,-22.411289905396515,-22.3703253120838,False,0.25,0.3
Al×0.25 other×0.30,2,1,-38.80475181059167,0.9017595757040001,False,0.25,0.3
Al×0.25 other×0.30,2,2,21.978553129418998,-16.329166023292267,False,0.25,0.3
Al×0.25 other×0.30,3,1,-109.59814715083175,-9.022615423491882,False,0.25,0.3
Al×0.25 other×0.30,3,2,20.362697740962183,-12.499244625880682,False,0.25,0.3
Al×0.25 other×0.30,3,3,-82.02562283069207,-18.276299173369168,False,0.25,0.3
Al×0.25 other×0.30,4,1,-13.152954626111379,1.7141732281341557,False,0.25,0.3
Al×0.25 other×0.30,4,2,161.3527012468776,-12.857841042810422,False,0.25,0.3
Al×0.25 other×0.30,4,3,50.724612221977445,9.973873322765662,False,0.25,0.3
Al×0.25 other×0.30,4,4,-156.82759745453356,6.4024257126157345,False,0.25,0.3
Al×0.25 other×0.50,1,1,-27.21495593222347,-27.173991338910756,False,0.25,0.5
Al×0.25 other×0.50,2,1,-35.117474568586005,2.984679945977699,False,0.25,0.5
Al×0.25 other×0.50,2,2,31.63198031332882,-19.232376966107445,False,0.25,0.5
Al×0.25 other×0.50,3,1,-94.24512411144107,-9.835404475029787,False,0.25,0.5
Al×0.25 other×0.50,3,2,27.347083738722983,-14.383181197235157,False,0.25,0.5
Al×0.25 other×0.50,3,3,-81.68868634062557,-21.84134924360274,False,0.25,0.5
Al×0.25 other×0.50,4,1,-9.233565711310657,3.9364943635991136,False,0.25,0.5
Al×0.25 other×0.50,4,2,159.25950308413292,-15.659960015586506,False,0.25,0.5
Al×0.25 other×0.50,4,3,55.42576879002523,14.67502989081345,False,0.25,0.5
Al×0.25 other×0.50,4,4,-152.0532118206187,9.980955083378824,False,0.25,0.5
Al×0.25 other×0.70,1,1,-31.119548927482306,-31.07858433416959,False,0.25,0.7
Al×0.25 other×0.70,2,1,-32.12032264122312,4.6777527453839935,False,0.25,0.7
Al×0.25 other×0.70,2,2,31.17432520798693,-21.592211527412932,False,0.25,0.7
Al×0.25 other×0.70,3,1,-93.09794367720853,-10.496068730108046,False,0.25,0.7
Al×0.25 other×0.70,3,2,33.0242445760377,-15.91451278834529,False,0.25,0.7
Al×0.25 other×0.70,3,3,-81.41481220957367,-24.73915051751352,False,0.25,0.7
Al×0.25 other×0.70,4,1,-6.047745044977849,5.742877132570242,False,0.25,0.7
Al×0.25 other×0.70,4,2,157.55807612432812,-17.93762337766889,False,0.25,0.7
Al×0.25 other×0.70,4,3,59.247038400090055,18.496299500878273,False,0.25,0.7
Al×0.25 other×0.70,4,4,-148.17241898474322,12.8897128189034,False,0.25,0.7
Al×0.25 other×1.00,1,1,-36.042436922529944,-36.001472329217236,False,0.25,1.0
Al×0.25 other×1.00,2,1,-28.341531033374366,6.812369021410607,False,0.25,1.0
Al×0.25 other×1.00,2,2,30.597316329802755,-24.56747713032097,False,0.25,1.0
Al×0.25 other×1.00,3,1,-93.93090530317842,-11.329030356077949,False,0.25,1.0
Al×0.25 other×1.00,3,2,40.1819757316044,-17.845206695614824,False,0.25,1.0
Al×0.25 other×1.00,3,3,-81.06951330811415,-28.39268140298385,False,0.25,1.0
Al×0.25 other×1.00,4,1,-2.0310809953038733,8.020353955026927,False,0.25,1.0
Al×0.25 other×1.00,4,2,155.41292697176758,-20.809288013540126,False,0.25,1.0
Al×0.25 other×1.00,4,3,64.06487275877247,23.314133859560684,False,0.25,1.0
Al×0.25 other×1.00,4,4,-143.27953809134496,16.55705754704876,False,0.25,1.0
Al×0.50 other×0.30,1,1,-24.83964467147576,-24.79868007816305,False,0.5,0.3
Al×0.50 other×0.30,2,1,-41.2752243534769,-1.6896345867619411,False,0.5,0.3
Al×0.50 other×0.30,2,2,25.93080508797124,-18.96037723511235,False,0.5,0.3
Al×0.50 other×0.30,3,1,-110.54300168314637,-11.602947467426104,False,0.5,0.3
Al×0.50 other×0.30,3,2,18.546228217393953,-14.994927849465489,False,0.5,0.3
Al×0.50 other×0.30,3,3,-84.52671489206422,-20.771950091215547,False,0.5,0.3
Al×0.50 other×0.30,4,1,-15.561847617785833,-0.7391370096856604,False,0.5,0.3
Al×0.50 other×0.30,4,2,159.99414554695718,-14.19508086953309,False,0.5,0.3
Al×0.50 other×0.30,4,3,48.16410466223569,7.413365763023901,False,0.5,0.3
Al×0.50 other×0.30,4,4,-159.3610846407593,3.9605702099179623,False,0.5,0.3
Al×0.50 other×0.50,1,1,-29.643310698302738,-29.602346104990023,False,0.5,0.5
Al×0.50 other×0.50,2,1,-37.587947111471244,0.39328578351177707,False,0.5,0.5
Al×0.50 other×0.50,2,2,29.02492700527607,-21.86358817792755,False,0.5,0.5
Al×0.50 other×0.50,3,1,-95.18997864375567,-12.415736518964014,False,0.5,0.5
Al×0.50 other×0.50,3,2,25.53061421515475,-16.878864420819966,False,0.5,0.5
Al×0.50 other×0.50,3,3,-84.18977840199771,-24.337000161449144,False,0.5,0.5
Al×0.50 other×0.50,4,1,-11.642458702985097,1.4831841257792717,False,0.5,0.5
Al×0.50 other×0.50,4,2,157.90094738421254,-16.997199842309197,False,0.5,0.5
Al×0.50 other×0.50,4,3,52.86526123028347,12.114522331071688,False,0.5,0.5
Al×0.50 other×0.50,4,4,-154.5866990068445,7.539099580681026,False,0.5,0.5
Al×0.50 other×0.70,1,1,-33.54790369356155,-33.506939100248836,False,0.5,0.7
Al×0.50 other×0.70,2,1,-34.59079518410837,2.086358582918054,False,0.5,0.7
Al×0.50 other×0.70,2,2,28.567271899934155,-24.22342273923303,False,0.5,0.7
Al×0.50 other×0.70,3,1,-95.67827572114275,-13.076400774042277,False,0.5,0.7
Al×0.50 other×0.70,3,2,31.207775052469486,-18.410196011930132,False,0.5,0.7
Al×0.50 other×0.70,3,3,-83.91590427094582,-27.234801435359895,False,0.5,0.7
Al×0.50 other×0.70,4,1,-8.4566380366523,3.28956689475041,False,0.5,0.7
Al×0.50 other×0.70,4,2,156.19952042440772,-19.274863204391565,False,0.5,0.7
Al×0.50 other×0.70,4,3,56.6865308403483,15.935791941136516,False,0.5,0.7
Al×0.50 other×0.70,4,4,-150.70590617096897,10.447857316205596,False,0.5,0.7
Al×0.50 other×1.00,1,1,-38.470791688609204,-38.429827095296496,False,0.5,1.0
Al×0.50 other×1.00,2,1,-30.812003576259595,4.220974858944693,False,0.5,1.0
Al×0.50 other×1.00,2,2,27.990263021749996,-27.198688342141075,False,0.5,1.0
Al×0.50 other×1.00,3,1,-96.51123734711265,-13.909362400012178,False,0.5,1.0
Al×0.50 other×1.00,3,2,38.36550620803619,-20.340889919199647,False,0.5,1.0
Al×0.50 other×1.00,3,3,-83.57060536948626,-30.888332320830266,False,0.5,1.0
Al×0.50 other×1.00,4,1,-4.439973986978352,5.567043717207101,False,0.5,1.0
Al×0.50 other×1.00,4,2,154.05437127184715,-22.146527840262795,False,0.5,1.0
