K_eff_GPa,eps_assoc_K,T_K,p_bar,N_mmol_g
0.3,0.0,273.0,0.001,0.022131310835488274
0.3,0.0,273.0,0.0013130324344878836,0.028949372234534893
0.3,0.0,273.0,0.0017240541740171785,0.03782591856536259
0.3,0.0,273.0,0.0022637390492987737,0.04935468389092359
0.3,0.0,273.0,0.002972362794946059,0.06428324279873578
0.3,0.0,273.0,0.003902808756829234,0.08354272314760323
0.3,0.0,273.0,0.00512451448332012,0.10827778623038033
0.3,0.0,273.0,0.0067286537276022365,0.13987372775547133
0.3,0.0,273.0,0.008834940584779547,0.1799761264963608
0.3,0.0,273.0,0.01160056354458889,0.23049689215275743
0.3,0.0,273.0,0.015231916192382951,0.293599036823163
0.3,0.0,273.0,0.020000000000000004,0.3939620585085131
0.3,0.0,273.0,0.02303273739264226,0.4433975896150697
0.3,0.0,273.0,0.026525349589921046,0.4980173143061503
0.3,0.0,273.0,0.030547570567634134,0.5581638289963586
0.3,0.0,273.0,0.03517970854337624,0.6241657396837637
0.3,0.0,273.0,0.04051424942146391,0.696330267747784
0.3,0.0,273.0,0.04665770337922934,0.7749354136857057
0.3,0.0,273.0,0.05373273146387932,0.8602219273126048
0.3,0.0,273.0,0.061880594659844954,0.9523853889533651
0.3,0.0,273.0,0.07126397432503748,1.0515687513667238
0.3,0.0,273.0,0.08207022030922942,1.1578557205536095
0.3,0.0,273.0,0.09451509160693887,1.2712653592633159
0.3,0.0,273.0,0.10884706423120744,1.391748274624315
0.3,0.0,273.0,0.12535229231987327,1.5191846972168235
0.3,0.0,273.0,0.1443603215284684,1.7178452824148824
0.3,0.0,273.0,0.1662506687841307,1.8637997155535528
0.3,0.0,273.0,0.1914603997728015,2.2818247517483856
0.3,0.0,273.0,0.22049285545286207,2.4634169071495453
0.3,0.0,273.0,0.25392770182998,2.6513016439618977
0.3,0.0,273.0,0.2924325036483547,2.8448640959115488
0.3,0.0,273.0,0.33677605308027264,3.0434501293932374
0.3,0.0,273.0,0.3878437195364236,3.2463796871657196
0.3,0.0,273.0,0.44665512707340205,3.452959880804905
0.3,0.0,273.0,0.5143845123479462,3.662497305621766
0.3,0.0,273.0,0.5923841695876297,3.874309177310591
0.3,0.0,273.0,0.6822114506835166,4.087733033798254
0.3,0.0,273.0,0.785659859492348,4.302134887290292
0.3,0.0,273.0,0.9047948611813732,4.516915831863891
0.3,0.0,273.0,1.0419951215901386,4.731517198675268
0.3,0.0,273.0,1.2,4.945424399102273
0.3,0.0,298.0,0.001,0.008880251645204775
0.3,0.0,298.0,0.0013130324344878836,0.011643170199037975
0.3,0.0,298.0,0.0017240541740171785,0.015258967676562344
0.3,0.0,298.0,0.0022637390492987737,0.019986203775570265
0.3,0.0,298.0,0.002972362794946059,0.026158605416207133
0.3,0.0,298.0,0.003902808756829234,0.034204795336771496
0.3,0.0,298.0,0.00512451448332012,0.044671860095051995
0.3,0.0,298.0,0.0067286537276022365,0.05825269377960018
0.3,0.0,298.0,0.008834940584779547,0.0758165040988911
0.3,0.0,298.0,0.01160056354458889,0.09844104669514005
0.3,0.0,298.0,0.015231916192382951,0.1274440392139399
0.3,0.0,298.0,0.020000000000000004,0.1644098137010029
0.3,0.0,298.0,0.02303273739264226,0.18731294669673054
0.3,0.0,298.0,0.026525349589921046,0.2131436545248322
0.3,0.0,298.0,0.030547570567634134,0.24221219673378727
0.3,0.0,298.0,0.03517970854337624,0.27484738932286634
0.3,0.0,298.0,0.04051424942146391,0.3113945882161727
0.3,0.0,298.0,0.04665770337922934,0.3725700047731263
0.3,0.0,298.0,0.05373273146387932,0.4201441355711641
0.3,0.0,298.0,0.061880594659844954,0.47287588284636123
0.3,0.0,298.0,0.07126397432503748,0.5311385277566011
0.3,0.0,298.0,0.08207022030922942,0.5952976656097433
0.3,0.0,298.0,0.09451509160693887,0.6657039927474423
0.3,0.0,298.0,0.10884706423120744,0.7426854156476214
0.3,0.0,298.0,0.12535229231987327,0.8265386779376128
0.3,0.0,298.0,0.1443603215284684,0.9175207659909056
0.3,0.0,298.0,0.1662506687841307,1.015840414161461
0.3,0.0,298.0,0.1914603997728015,1.1216500804624672
0.3,0.0,298.0,0.22049285545286207,1.2350387960429883
0.3,0.0,298.0,0.25392770182998,1.3560263004198654
0.3,0.0,298.0,0.2924325036483547,1.5457606209289798
0.3,0.0,298.0,0.33677605308027264,1.6868616693019893
0.3,0.0,298.0,0.3878437195364236,2.0740693673065653
0.3,0.0,298.0,0.44665512707340205,2.2523736112463584
0.3,0.0,298.0,0.5143845123479462,2.4383883789882557
0.3,0.0,298.0,0.5923841695876297,2.631564170342128
0.3,0.0,298.0,0.6822114506835166,2.8312825534059347
0.3,0.0,298.0,0.785659859492348,3.0368691560556345
0.3,0.0,298.0,0.9047948611813732,3.247607805376103
0.3,0.0,298.0,1.0419951215901386,3.4627551423772838
0.3,0.0,298.0,1.2,3.6815550668269013
0.3,0.0,323.0,0.001,0.004088457822275885
0.3,0.0,323.0,0.0013130324344878836,0.005364893274511664
0.3,0.0,323.0,0.0017240541740171785,0.007038463566567826
0.3,0.0,323.0,0.0022637390492987737,0.009231749172257976
0.3,0.0,323.0,0.002972362794946059,0.012104475699483787
0.3,0.0,323.0,0.003902808756829234,0.015864290092336118
0.3,0.0,323.0,0.00512451448332012,0.020780337246225716
0.3,0.0,323.0,0.0067286537276022365,0.0272001489967417
0.3,0.0,323.0,0.008834940584779547,0.03557030834800592
0.3,0.0,323.0,0.01160056354458889,0.04646119041738749
0.3,0.0,323.0,0.015231916192382951,0.06059574956024219
0.3,0.0,323.0,0.020000000000000004,0.0788817559609667
0.3,0.0,323.0,0.02303273739264226,0.09035802986569524
0.3,0.0,323.0,0.026525349589921046,0.10343162049065119
0.3,0.0,323.0,0.030547570567634134,0.11830490522058831
0.3,0.0,323.0,0.03517970854337624,0.13520075432408812
0.3,0.0,323.0,0.04051424942146391,0.15436336080243093
0.3,0.0,323.0,0.04665770337922934,0.17605879417530798
0.3,0.0,323.0,0.05373273146387932,0.200575195230589
0.3,0.0,323.0,0.061880594659844954,0.22822251976509916
0.3,0.0,323.0,0.07126397432503748,0.25933173198451565
0.3,0.0,323.0,0.08207022030922942,0.29425334386710694
0.3,0.0,323.0,0.09451509160693887,0.3519343277761539
0.3,0.0,323.0,0.10884706423120744,0.397574002607402
0.3,0.0,323.0,0.12535229231987327,0.44830841506460806
0.3,0.0,323.0,0.1443603215284684,0.5045350075919763
0.3,0.0,323.0,0.1662506687841307,0.5666495128984679
0.3,0.0,323.0,0.1914603997728015,0.6350391086732982
0.3,0.0,323.0,0.22049285545286207,0.7100747153461922
0.3,0.0,323.0,0.25392770182998,0.7921025768008442
0.3,0.0,323.0,0.2924325036483547,0.8814353320415175
0.3,0.0,323.0,0.33677605308027264,0.9783428548867
0.3,0.0,323.0,0.3878437195364236,1.0830432032631852
0.3,0.0,323.0,0.44665512707340205,1.195694073064287
0.3,0.0,323.0,0.5143845123479462,1.3735205740017185
0.3,0.0,323.0,0.5923841695876297,1.5072958076281913
0.3,0.0,323.0,0.6822114506835166,1.6493335173929589
0.3,0.0,323.0,0.785659859492348,2.032271093581724
0.3,0.0,323.0,0.9047948611813732,2.212871750629134
0.3,0.0,323.0,1.0419951215901386,2.401992345160741
0.3,0.0,323.0,1.2,2.59911286220997
0.3,100.0,273.0,0.001,0.025109527838145854
0.3,100.0,273.0,0.0013130324344878836,0.03280863125172258
0.3,100.0,273.0,0.0017240541740171785,0.04280935619274196
0.3,100.0,273.0,0.0022637390492987737,0.055762518990539967
0.3,100.0,273.0,0.002972362794946059,0.07248119385669093
0.3,100.0,273.0,0.003902808756829234,0.09396963105540891
0.3,100.0,273.0,0.00512451448332012,0.12145168303147362
0.3,100.0,273.0,0.0067286537276022365,0.15639547854990968
0.3,100.0,273.0,0.008834940584779547,0.20052944223586416
0.3,100.0,273.0,0.01160056354458889,0.25584274742334095
0.3,100.0,273.0,0.015231916192382951,0.32456136215743076
0.3,100.0,273.0,0.020000000000000004,0.4327065968543078
0.3,100.0,273.0,0.02303273739264226,0.48613887663548694
0.3,100.0,273.0,0.026525349589921046,0.5449916147991763
0.3,100.0,273.0,0.030547570567634134,0.6095888734957878
0.3,100.0,273.0,0.03517970854337624,0.6802345742079644
0.3,100.0,273.0,0.04051424942146391,0.7572050709355526
0.3,100.0,273.0,0.04665770337922934,0.8407415240748307
0.3,100.0,273.0,0.05373273146387932,0.9310423468044273
0.3,100.0,273.0,0.061880594659844954,1.0282560413250403
0.3,100.0,273.0,0.07126397432503748,1.1324747750852726
0.3,100.0,273.0,0.08207022030922942,1.2437290604908906
0.3,100.0,273.0,0.09451509160693887,1.3619838888378586
0.3,100.0,273.0,0.10884706423120744,1.4871366249083318
0.3,100.0,273.0,0.12535229231987327,1.6824698523360027
0.3,100.0,273.0,0.1443603215284684,1.8262707211028228
0.3,100.0,273.0,0.1662506687841307,1.9766732250795358
0.3,100.0,273.0,0.1914603997728015,2.413046745995166
