T_K,strain_pct,p_bar,mmol_per_g_abs,N_per_cell_abs,is_omega_min
298.0,2.0,4.21697e-02,0.39238,5.08630e-01,0
298.0,2.0,5.62341e-02,0.50329,6.52391e-01,0
298.0,2.0,7.49894e-02,0.64038,8.30095e-01,0
298.0,2.0,1.00000e-01,0.80747,1.04669e+00,0
298.0,2.0,1.33352e-01,1.00801,1.30664e+00,0
298.0,2.0,1.77828e-01,1.24465,1.61338e+00,0
298.0,2.0,2.37137e-01,1.51890,1.96889e+00,0
298.0,2.0,3.16228e-01,1.83083,2.37323e+00,0
298.0,2.0,4.21697e-01,2.17880,2.82429e+00,0
298.0,2.0,5.62341e-01,2.55956,3.31785e+00,0
298.0,2.0,7.49894e-01,2.96842,3.84784e+00,0
298.0,2.0,1.00000e+00,3.39966,4.40684e+00,0
298.0,3.0,1.00000e-03,0.01113,1.44325e-02,0
298.0,3.0,1.33352e-03,0.01482,1.92125e-02,0
298.0,3.0,1.77828e-03,0.01972,2.55611e-02,0
298.0,3.0,2.37137e-03,0.02622,3.39825e-02,0
298.0,3.0,3.16228e-03,0.03482,4.51349e-02,0
298.0,3.0,4.21697e-03,0.04619,5.98730e-02,0
298.0,3.0,5.62341e-03,0.06117,7.92973e-02,0
298.0,3.0,7.49894e-03,0.08086,1.04812e-01,0
298.0,3.0,1.00000e-02,0.10660,1.38186e-01,0
298.0,3.0,1.33352e-02,0.14011,1.81620e-01,0
298.0,3.0,1.77828e-02,0.18345,2.37804e-01,0
298.0,3.0,2.37137e-02,0.23912,3.09965e-01,0
298.0,3.0,3.16228e-02,0.31003,4.01880e-01,0
298.0,3.0,4.21697e-02,0.39950,5.17856e-01,0
298.0,3.0,5.62341e-02,0.51119,6.62629e-01,0
298.0,3.0,7.49894e-02,0.64893,8.41185e-01,0
298.0,3.0,1.00000e-01,0.81656,1.05847e+00,0
298.0,3.0,1.33352e-01,1.01754,1.31900e+00,0
298.0,3.0,1.77828e-01,1.25467,1.62638e+00,0
298.0,3.0,2.37137e-01,1.52967,1.98285e+00,0
298.0,3.0,3.16228e-01,1.84287,2.38884e+00,0
298.0,3.0,4.21697e-01,2.19302,2.84272e+00,0
298.0,3.0,5.62341e-01,2.57721,3.34073e+00,0
298.0,3.0,7.49894e-01,2.99106,3.87719e+00,0
298.0,3.0,1.00000e+00,3.42902,4.44490e+00,0
298.0,5.0,1.00000e-03,0.01221,1.58295e-02,0
298.0,5.0,1.33352e-03,0.01626,2.10740e-02,0
298.0,5.0,1.77828e-03,0.02163,2.80412e-02,0
298.0,5.0,2.37137e-03,0.02876,3.72854e-02,0
298.0,5.0,3.16228e-03,0.03821,4.95316e-02,0
298.0,5.0,4.21697e-03,0.05070,6.57216e-02,0
298.0,5.0,5.62341e-03,0.06717,8.70697e-02,0
298.0,5.0,7.49894e-03,0.08881,1.15127e-01,0
298.0,5.0,1.00000e-02,0.11714,1.51849e-01,0
298.0,5.0,1.33352e-02,0.15404,1.99671e-01,0
298.0,5.0,1.77828e-02,0.20178,2.61566e-01,0
298.0,5.0,2.37137e-02,0.26313,3.41091e-01,0
298.0,5.0,3.16228e-02,0.34129,4.42397e-01,0
298.0,5.0,4.21697e-02,0.43986,5.70178e-01,0
298.0,5.0,5.62341e-02,0.56281,7.29546e-01,0
298.0,5.0,7.49894e-02,0.71421,9.25806e-01,0
298.0,5.0,1.00000e-01,0.89805,1.16411e+00,0
298.0,5.0,1.33352e-01,1.11786,1.44903e+00,0
298.0,5.0,1.77828e-01,1.37631,1.78405e+00,0
298.0,5.0,2.37137e-01,1.67487,2.17106e+00,0
298.0,5.0,3.16228e-01,2.01349,2.61000e+00,0
298.0,5.0,4.21697e-01,2.39046,3.09866e+00,0
298.0,5.0,5.62341e-01,2.80251,3.63278e+00,0
298.0,5.0,7.49894e-01,3.24501,4.20638e+00,0
298.0,5.0,1.00000e+00,3.71241,4.81225e+00,0
273.0,0.0,1.00000e-03,0.02213,2.86879e-02,1
273.0,0.0,1.33352e-03,0.02939,3.81021e-02,1
273.0,0.0,1.77828e-03,0.03899,5.05421e-02,1
273.0,0.0,2.37137e-03,0.05164,6.69353e-02,1
273.0,0.0,3.16228e-03,0.06825,8.84636e-02,1
273.0,0.0,4.21697e-03,0.08996,1.16614e-01,1
273.0,0.0,5.62341e-03,0.11821,1.53228e-01,1
273.0,0.0,7.49894e-03,0.15471,2.00550e-01,1
273.0,0.0,1.00000e-02,0.20154,2.61247e-01,1
273.0,0.0,1.33352e-02,0.26107,3.38413e-01,1
273.0,0.0,1.77828e-02,0.33598,4.35522e-01,1
273.0,0.0,2.37137e-02,0.42917,5.56318e-01,1
273.0,0.0,3.16228e-02,0.54359,7.04632e-01,1
273.0,0.0,4.21697e-02,0.68206,8.84127e-01,1
273.0,0.0,5.62341e-02,0.84703,1.09797e+00,1
273.0,0.0,7.49894e-02,1.04028,1.34848e+00,1
273.0,0.0,1.00000e-01,1.26269,1.63678e+00,1
273.0,0.0,1.33352e-01,1.51404,1.96258e+00,1
273.0,0.0,1.77828e-01,1.79290,2.32406e+00,1
273.0,0.0,2.37137e-01,2.09673,2.71791e+00,1
273.0,0.0,3.16228e-01,2.42206,3.13962e+00,1
273.0,0.0,4.21697e-01,2.76478,3.58387e+00,1
273.0,0.0,5.62341e-01,3.12045,4.04492e+00,1
273.0,0.0,7.49894e-01,3.48469,4.51707e+00,1
273.0,0.0,1.00000e+00,3.85338,4.99498e+00,1
