sample,n_co2,molecule_idx,x_A,y_A,z_A,frac_x,frac_y,frac_z,porecdft_E_min_kJ_per_mol,porecdft_E_LJ_kJ_per_mol,porecdft_E_Coul_kJ_per_mol,porecdft_E_Quad_kJ_per_mol
ALF-S1,1,1,5.567432467299999,4.6853499071,7.4775737544,0.24353407406937574,0.4098989464240409,0.6541773110887537,-41.905003933052576,-41.86403933973911,-0.4463273882132287,0.40536279489976224
ALF-S1,2,1,4.4235782795,3.7513200883,4.4188571352,0.1934988967892918,0.32818512648615544,0.38658476315121815,-34.305779351878066,11.206021678786296,-35.421287995223686,-10.090513035440674
ALF-S1,2,2,2.1161670496,4.0542645665,6.276196928799999,0.0925666877914352,0.3546882959188136,0.5490745749354795,24.303332875672616,-16.12053071331494,53.93065017277765,-13.506786583790097
ALF-S1,3,1,5.7980938213,5.366449607599999,2.6418640703,0.2536238056646691,0.46948511505183493,0.2311241039587069,-100.16037791907074,-17.558502971969897,-57.31978976638667,-25.28208518071417
ALF-S1,3,2,5.1710406351,2.8532044778,3.9525423246,0.22619485740343814,0.24961326956826033,0.34578910149162323,35.796630372168075,35.05037159481794,-5.279090658727349,6.0253494360774855
ALF-S1,3,3,5.770403114999999,3.8419039418999996,9.2648783435,0.252412541664844,0.33610987637461176,0.8105400764183542,-87.10768368342227,-9.96235178556037,-98.78980818731662,21.644476289454733
ALF-S1,4,1,6.380866803,4.552346812599999,9.3578585649,0.2791158218363151,0.3982631391977603,0.8186744731114124,-7.846663126109839,12.95965673856325,-30.94493711652108,10.138617251847991
ALF-S1,4,2,0.5157630363,4.3502146515,3.8435353255999996,0.022560825698788336,0.380579559205634,0.336252598364026,152.1330833757814,-19.692719523512295,170.6961631099611,1.1296397893325953
ALF-S1,4,3,6.427689754599999,5.321115720599999,2.6517152619,0.28116398034206724,0.4655190692095708,0.231985937789248,57.8832606814851,17.132521782273326,74.40720193852377,-33.656463039311994
ALF-S1,4,4,5.877067920499999,3.6643450121,5.2265872587,0.25707833955207554,0.3205760913433358,0.4572492243296443,-149.39591721642958,17.722437588153625,-126.80995913761231,-40.30839566697091
