    O    3.0332   48.1581    15.999
    C    3.47230  47.8562    12.0107
    H    2.8464    7.6489    1.00784
    N    3.2626   38.9492    14.0067
    B    3.581    47.8059    10.811
    Zn   1.330   109.471     65.38
